client_id,entity_type,entity_year_established
1,Other Partnership,2006
2,Australian Private Company,2001
3,Australian Private Company,2002
4,Australian Private Company,2007
5,Australian Private Company,2007
6,Australian Private Company,2014
7,Australian Private Company,2015
8,Individual/Sole Trader,1999
9,Individual/Sole Trader,2004
10,Australian Private Company,2000
11,Australian Private Company,1999
12,Australian Private Company,2000
13,Australian Private Company,2002
14,Australian Private Company,2002
15,Australian Private Company,2005
16,Australian Private Company,2009
17,Individual/Sole Trader,2012
18,Australian Private Company,2012
19,Individual/Sole Trader,2000
20,Individual/Sole Trader,2010
21,Individual/Sole Trader,1999
22,Individual/Sole Trader,2010
23,Family Partnership,2000
24,Individual/Sole Trader,2016
25,Australian Private Company,2016
26,Australian Private Company,2011
27,Individual/Sole Trader,2000
28,Family Partnership,2003
29,Australian Private Company,1999
30,Australian Private Company,2001
31,Australian Private Company,2004
32,Australian Private Company,2004
33,Australian Private Company,2005
34,Australian Private Company,2014
35,Family Partnership,2016
36,Individual/Sole Trader,2015
37,Individual/Sole Trader,2015
38,Australian Private Company,2014
39,Australian Private Company,2015
40,Family Partnership,2003
41,Australian Private Company,2002
42,Australian Public Company,2005
43,Australian Private Company,2014
44,Individual/Sole Trader,2015
45,Individual/Sole Trader,2006
46,Australian Private Company,2014
47,Australian Private Company,2015
48,Australian Private Company,2017
49,Individual/Sole Trader,2000
50,Australian Private Company,2010
51,Australian Private Company,2017
52,Australian Private Company,2013
53,Individual/Sole Trader,2014
54,Australian Private Company,2015
55,Australian Private Company,2016
56,Australian Private Company,2000
57,Australian Private Company,2000
58,Australian Private Company,2000
59,Australian Private Company,2001
60,Australian Private Company,2002
61,Australian Private Company,2006
62,Individual/Sole Trader,2012
63,Australian Private Company,2013
64,Individual/Sole Trader,2004
65,Australian Private Company,2016
66,Australian Private Company,2000
67,Individual/Sole Trader,2017
68,Australian Private Company,2002
69,Australian Private Company,2005
70,Australian Private Company,2006
71,Individual/Sole Trader,2006
72,Individual/Sole Trader,2004
73,Individual/Sole Trader,2010
74,Individual/Sole Trader,2010
75,Other Partnership,2012
76,Individual/Sole Trader,2000
77,Individual/Sole Trader,2011
78,Individual/Sole Trader,2009
79,Individual/Sole Trader,2008
80,Australian Private Company,2000
81,Australian Private Company,2006
82,Australian Private Company,2013
83,Australian Private Company,2013
84,Individual/Sole Trader,2006
85,Individual/Sole Trader,2000
86,Australian Private Company,2015
87,Australian Private Company,2015
88,Australian Private Company,2016
89,Individual/Sole Trader,2014
90,Individual/Sole Trader,2015
91,Individual/Sole Trader,2004
92,Australian Private Company,2000
93,Australian Private Company,2000
94,Australian Private Company,2000
95,Australian Private Company,2002
96,Australian Private Company,2004
97,Australian Private Company,2006
98,Australian Private Company,2011
99,Australian Private Company,2011
100,Australian Private Company,2011
101,Australian Private Company,2013
102,Australian Private Company,2013
103,Australian Private Company,2014
104,Family Partnership,2002
105,Individual/Sole Trader,2008
106,Australian Private Company,2014
107,Individual/Sole Trader,2004
108,Australian Private Company,2016
109,Individual/Sole Trader,2005
110,Individual/Sole Trader,2015
111,Individual/Sole Trader,2001
112,Individual/Sole Trader,2008
113,Australian Private Company,2006
114,Australian Private Company,2010
115,Family Partnership,2008
116,Australian Private Company,2010
117,Australian Private Company,2015
118,Individual/Sole Trader,2000
119,Australian Private Company,2001
120,Australian Private Company,2008
121,Australian Private Company,2011
122,Australian Private Company,2012
123,Australian Private Company,2014
124,Individual/Sole Trader,2011
125,Individual/Sole Trader,2018
126,Individual/Sole Trader,2007
127,Australian Private Company,2015
128,Individual/Sole Trader,2008
129,Individual/Sole Trader,2014
130,Individual/Sole Trader,2007
131,Individual/Sole Trader,2013
132,Individual/Sole Trader,2011
133,Australian Private Company,2000
134,Australian Private Company,2006
135,Australian Private Company,2007
136,Australian Private Company,2012
137,Australian Private Company,2013
138,Individual/Sole Trader,2015
139,Australian Private Company,2015
140,Australian Private Company,2015
141,Australian Private Company,2016
142,Individual/Sole Trader,2000
143,Individual/Sole Trader,2008
144,Australian Private Company,2000
145,Individual/Sole Trader,2016
146,Australian Private Company,2004
147,Australian Private Company,2005
148,Australian Private Company,2015
149,Australian Private Company,2011
150,Individual/Sole Trader,2000
151,Australian Private Company,2012
152,Individual/Sole Trader,2015
153,Australian Private Company,2015
154,Australian Private Company,2016
155,Discretionary Trading Trust,2011
156,Individual/Sole Trader,2014
157,Individual/Sole Trader,2003
158,Family Partnership,2011
159,Australian Private Company,2000
160,Family Partnership,2010
161,Individual/Sole Trader,2013
162,Individual/Sole Trader,2008
163,Individual/Sole Trader,1999
164,Individual/Sole Trader,2008
165,Australian Private Company,2015
166,Australian Private Company,2000
167,Australian Private Company,2011
168,Australian Private Company,2013
169,Australian Private Company,2013
170,Individual/Sole Trader,2014
171,Australian Private Company,2015
172,Australian Private Company,2016
173,Individual/Sole Trader,2009
174,Individual/Sole Trader,2015
175,Individual/Sole Trader,2001
176,Individual/Sole Trader,2000
177,Individual/Sole Trader,2009
178,Individual/Sole Trader,2014
179,Individual/Sole Trader,2007
180,Australian Private Company,2000
181,Individual/Sole Trader,2017
182,Individual/Sole Trader,2008
183,Australian Private Company,2003
184,Australian Private Company,2001
185,Australian Private Company,2004
186,Australian Private Company,2011
187,Australian Private Company,2012
188,Australian Private Company,2012
189,Individual/Sole Trader,2014
190,Australian Private Company,2015
191,Individual/Sole Trader,2003
192,Australian Private Company,2000
193,Australian Private Company,2007
194,Australian Private Company,2010
195,Individual/Sole Trader,2012
196,Individual/Sole Trader,2011
197,Individual/Sole Trader,2009
198,Australian Private Company,2014
199,Individual/Sole Trader,2000
200,Individual/Sole Trader,2011
201,Australian Private Company,2009
202,Australian Private Company,2012
203,Australian Private Company,2012
204,Individual/Sole Trader,2000
205,Individual/Sole Trader,2000
206,Australian Private Company,2015
207,Australian Private Company,2016
208,Australian Private Company,2016
209,Individual/Sole Trader,2014
210,Australian Private Company,2000
211,Australian Private Company,2008
212,Australian Private Company,2008
213,Australian Private Company,2013
214,Australian Private Company,2014
215,Family Partnership,2005
216,Australian Private Company,2016
217,Australian Private Company,2016
218,Other Partnership,2000
219,Other Partnership,2016
220,Individual/Sole Trader,2003
221,Australian Private Company,2006
222,Australian Private Company,2004
223,Australian Private Company,2000
224,Australian Private Company,2003
225,Individual/Sole Trader,2000
226,Australian Private Company,2014
227,Individual/Sole Trader,2005
228,Australian Private Company,2014
229,Australian Private Company,2014
230,Australian Private Company,2008
231,Individual/Sole Trader,2016
232,Australian Private Company,2012
233,Individual/Sole Trader,2005
234,Individual/Sole Trader,2000
235,Australian Private Company,2015
236,Australian Private Company,2016
237,Individual/Sole Trader,2003
238,Individual/Sole Trader,2017
239,Australian Private Company,2000
240,Australian Private Company,1999
241,Australian Private Company,2001
242,Australian Private Company,2004
243,Australian Private Company,2006
244,Australian Private Company,2008
245,Australian Public Company,2009
246,Australian Private Company,2012
247,Individual/Sole Trader,2015
248,Australian Private Company,2015
249,Australian Private Company,2015
250,Individual/Sole Trader,2015
251,Family Partnership,2016
252,Australian Private Company,2000
253,Family Partnership,2010
254,Australian Private Company,2000
255,Australian Private Company,2000
256,Australian Private Company,2005
257,Australian Private Company,2008
258,Australian Private Company,2012
259,Australian Private Company,2014
260,Individual/Sole Trader,2008
261,Individual/Sole Trader,2015
262,Individual/Sole Trader,2002
263,Australian Private Company,2003
264,Australian Private Company,2007
265,Australian Private Company,2012
266,Australian Private Company,2014
267,Individual/Sole Trader,2000
268,Australian Private Company,2016
269,Australian Private Company,2016
270,Individual/Sole Trader,2007
271,Individual/Sole Trader,2007
272,Australian Private Company,2005
273,Australian Private Company,2005
274,Discretionary Investment Trust,2008
275,Australian Private Company,2011
276,Australian Private Company,2011
277,Australian Private Company,2013
278,Australian Private Company,2014
279,Individual/Sole Trader,2016
280,Australian Private Company,2014
281,Individual/Sole Trader,2015
282,Individual/Sole Trader,2001
283,Australian Private Company,2000
284,Individual/Sole Trader,2010
285,Australian Private Company,2012
286,Australian Private Company,2012
287,Individual/Sole Trader,2001
288,Australian Private Company,2015
289,Individual/Sole Trader,2004
290,Individual/Sole Trader,2015
291,Individual/Sole Trader,2014
292,Individual/Sole Trader,2014
293,Individual/Sole Trader,2004
294,Australian Private Company,2015
295,Australian Private Company,2014
296,Individual/Sole Trader,2016
297,Australian Private Company,2014
298,Australian Private Company,2015
299,Individual/Sole Trader,2002
300,Other Partnership,2001
301,Individual/Sole Trader,2004
302,Australian Private Company,2000
303,Australian Private Company,2000
304,Australian Private Company,2005
305,Individual/Sole Trader,2016
306,Australian Private Company,2007
307,Australian Private Company,2011
308,Australian Private Company,2012
309,Individual/Sole Trader,2009
310,Individual/Sole Trader,2015
311,Individual/Sole Trader,2000
312,Individual/Sole Trader,2009
313,Individual/Sole Trader,2006
314,Individual/Sole Trader,1999
315,Australian Private Company,2014
316,Australian Private Company,2015
317,Australian Private Company,2016
318,Individual/Sole Trader,2000
319,Individual/Sole Trader,2012
320,Individual/Sole Trader,2015
321,Individual/Sole Trader,2012
322,Australian Private Company,2005
323,Australian Private Company,2006
324,Australian Private Company,2009
325,Australian Private Company,2011
326,Australian Private Company,2013
327,Individual/Sole Trader,2013
328,Individual/Sole Trader,2011
329,Individual/Sole Trader,2015
330,Individual/Sole Trader,2014
331,Individual/Sole Trader,2007
332,Individual/Sole Trader,2013
333,Individual/Sole Trader,2008
334,Individual/Sole Trader,2000
335,Australian Private Company,2000
336,Individual/Sole Trader,2007
337,Australian Private Company,2001
338,Australian Private Company,2007
339,Australian Private Company,2007
340,Australian Private Company,2014
341,Individual/Sole Trader,2000
342,Individual/Sole Trader,2009
343,Individual/Sole Trader,2011
344,Individual/Sole Trader,2014
345,Individual/Sole Trader,2016
346,Australian Private Company,2000
347,Australian Private Company,2007
348,Australian Private Company,2011
349,Australian Private Company,2011
350,Australian Private Company,2011
351,Australian Private Company,2013
352,Individual/Sole Trader,2010
353,Individual/Sole Trader,2011
354,Individual/Sole Trader,2013
355,Individual/Sole Trader,2011
356,Australian Private Company,2003
357,Australian Private Company,2007
358,Australian Private Company,2009
359,Australian Private Company,2009
360,Australian Private Company,2010
361,Individual/Sole Trader,2012
362,Individual/Sole Trader,2017
363,Individual/Sole Trader,2002
364,Individual/Sole Trader,2014
365,Australian Private Company,2016
366,Australian Private Company,2017
367,Individual/Sole Trader,2012
368,Individual/Sole Trader,2016
369,Individual/Sole Trader,2001
370,Australian Private Company,2013
371,Australian Private Company,2007
372,Australian Private Company,2009
373,Australian Private Company,2009
374,Australian Private Company,2010
375,Australian Private Company,2012
376,Australian Private Company,2013
377,Australian Private Company,2014
378,Australian Private Company,2013
379,Individual/Sole Trader,2008
380,Individual/Sole Trader,2016
381,Individual/Sole Trader,2006
382,Family Partnership,2014
383,Australian Private Company,2014
384,Individual/Sole Trader,2012
385,Australian Private Company,2000
386,Australian Private Company,2003
387,Australian Private Company,2008
388,Australian Private Company,2011
389,Australian Private Company,2012
390,Australian Private Company,2013
391,Australian Private Company,2014
392,Individual/Sole Trader,2003
393,Individual/Sole Trader,2015
394,Individual/Sole Trader,2014
395,Australian Private Company,2015
396,Australian Private Company,2016
397,Individual/Sole Trader,2001
398,Individual/Sole Trader,2015
399,Individual/Sole Trader,2014
400,Australian Private Company,2000
401,Australian Private Company,2003
402,Australian Private Company,2003
403,Australian Private Company,2006
404,Australian Private Company,2006
405,Australian Private Company,2008
406,Australian Private Company,2010
407,Australian Private Company,2010
408,Australian Private Company,2012
409,Individual/Sole Trader,2008
410,Individual/Sole Trader,2000
411,Individual/Sole Trader,2014
412,Individual/Sole Trader,2014
413,Australian Private Company,2014
414,Australian Private Company,2015
415,Individual/Sole Trader,2013
416,Australian Private Company,2000
417,Australian Private Company,2004
418,Australian Private Company,2006
419,Australian Private Company,2007
420,Individual/Sole Trader,2007
421,Individual/Sole Trader,1999
422,Individual/Sole Trader,2013
423,Individual/Sole Trader,2016
424,Australian Private Company,2016
425,Individual/Sole Trader,2001
426,Discretionary Trading Trust,2005
427,Individual/Sole Trader,2014
428,Australian Private Company,2016
429,Australian Private Company,2003
430,Australian Private Company,2005
431,Australian Private Company,2006
432,Individual/Sole Trader,2013
433,Individual/Sole Trader,2015
434,Individual/Sole Trader,2000
435,Fixed Unit Trust,2001
436,Australian Private Company,2014
437,Australian Private Company,2015
438,Individual/Sole Trader,2009
439,Individual/Sole Trader,2012
440,Individual/Sole Trader,1999
441,Australian Private Company,1999
442,Individual/Sole Trader,2012
443,Australian Private Company,2000
444,Australian Private Company,2004
445,Australian Private Company,2009
446,Australian Private Company,2011
447,Australian Private Company,2013
448,Individual/Sole Trader,2003
449,Individual/Sole Trader,2012
450,Individual/Sole Trader,2014
451,Discretionary Trading Trust,2008
452,Individual/Sole Trader,2009
453,Australian Private Company,2000
454,Australian Private Company,2003
455,Individual/Sole Trader,2001
456,Australian Private Company,2010
457,Australian Private Company,2010
458,Australian Private Company,2011
459,Australian Private Company,2012
460,Australian Private Company,2012
461,Australian Private Company,2013
